id_station,source,replicate_id,sample_area,original_id_taxon,abbreviated_revised_name,development_stage,state_of_specimen,abundance,body_mass
ECORDRE_0001,Bouche1972,ECORDRE_0001_Bouche1972_Q,NA,t_032,Occyan,adult,NA,1,NA
ECORDRE_0001,Bouche1972,ECORDRE_0001_Bouche1972_Q,NA,t_067,Apcalicali,adult,NA,2,NA
ECORDRE_0004,Bouche1972,ECORDRE_0004_Bouche1972_Q,NA,t_011,Eitetr,adult,NA,1,NA
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_1,0.0625,t_067,Apcalicali,adult,full,1,0.59
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_1,0.0625,t_067,Apcalicali,adult,piece,1,0.325
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_1,0.0625,t_160,Und,juvenile,full,1,0.134
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_2,0.0625,t_035,Alchlochlo,adult,full,1,0.225
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_2,0.0625,t_160,Und,juvenile,full,3,0.384
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_3,0.0625,t_067,Apcalicali,adult,full,1,0.664
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_3,0.0625,t_160,Und,juvenile,full,3,0.362
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_4,0.0625,t_160,Und,juvenile,full,2,0.47
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_4,0.0625,t_160,Und,undetermined,piece,2,0.276
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_5,0.0625,t_067,Apcalicali,adult,full,1,0.272
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_5,0.0625,t_067,Apcalicali,adult,piece,1,0.286
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_5,0.0625,t_160,Und,juvenile,full,3,0.28
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_6,0.0625,t_067,Apcalicali,adult,full,1,0.597
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_6,0.0625,t_067,Apcalicali,adult,full,1,0.278
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_6,0.0625,t_067,Apcalicali,adult,full,1,0.281
ECORDRE_0004,Vers2022,ECORDRE_0004_Vers2022_6,0.0625,t_067,Apcalicali,adult,piece,1,0.59
ECORDRE_0005,Bouche1972,ECORDRE_0005_Bouche1972_Q,NA,t_321,Scrhod,adult,NA,1,NA
ECORDRE_0006,Bouche1972,ECORDRE_0006_Bouche1972_Q,NA,t_035,Alchlochlo,adult,NA,1,NA
ECORDRE_0006,Bouche1972,ECORDRE_0006_Bouche1972_Q,NA,t_060,Apgiar,adult,NA,4,NA
ECORDRE_0006,Bouche1972,ECORDRE_0006_Bouche1972_Q,NA,t_077,Luterr,adult,NA,1,NA
ECORDRE_0006,Bouche1972,ECORDRE_0006_Bouche1972_Q,NA,t_081,Lufest,adult,NA,2,NA
ECORDRE_0006,Bouche1972,ECORDRE_0006_Bouche1972_Q,NA,t_104,Aprose,adult,NA,2,NA
ECORDRE_0007,Bouche1972,ECORDRE_0007_Bouche1972_Q,NA,t_041,Alicte,adult,NA,2,NA
ECORDRE_0007,Bouche1972,ECORDRE_0007_Bouche1972_Q,NA,t_067,Apcalicali,adult,NA,4,NA
ECORDRE_0007,Bouche1972,ECORDRE_0007_Bouche1972_Q,NA,t_082,Lucast,adult,NA,2,NA
ECORDRE_0007,Bouche1972,ECORDRE_0007_Bouche1972_Q,NA,t_104,Aprose,adult,NA,2,NA
ECORDRE_0007,Bouche1972,ECORDRE_0007_Bouche1972_Q,NA,t_331,Aprose,adult,NA,4,NA
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_1,0.0625,t_060,Apgiar,adult,full,1,2.65
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_1,0.0625,t_060,Apgiar,undetermined,piece,2,4.707
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_1,0.0625,t_082,Lucast,adult,full,1,0.311
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_1,0.0625,t_092,Deocta,adult,full,1,0.14
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_1,0.0625,t_092,Deocta,adult,full,1,0.191
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_2,0.0625,t_160,Und,juvenile,full,2,0.481
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_3,0.0625,t_060,Apgiar,adult,full,1,3.068
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_3,0.0625,t_160,Und,undetermined,piece,1,0.098
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_4,0.0625,t_082,Lucast,subadult,full,1,0.127
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_6,0.0625,t_082,Lucast,adult,full,1,0.274
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_6,0.0625,t_082,Lucast,subadult,full,1,0.148
ECORDRE_0007,Vers2022,ECORDRE_0007_Vers2022_Q,NA,t_077,Luterr,adult,full,1,1.803
ECORDRE_0009,Bouche1972,ECORDRE_0009_Bouche1972_Q,NA,t_041,Alicte,adult,NA,1,NA
ECORDRE_0009,Bouche1972,ECORDRE_0009_Bouche1972_Q,NA,t_067,Apcalicali,adult,NA,4,NA
ECORDRE_0009,Bouche1972,ECORDRE_0009_Bouche1972_Q,NA,t_077,Luterr,adult,NA,1,NA
ECORDRE_0009,Bouche1972,ECORDRE_0009_Bouche1972_Q,NA,t_104,Aprose,adult,NA,3,NA
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_035,Alchlochlo,adult,full,1,0.165
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_035,Alchlochlo,subadult,full,1,0.144
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_041,Alicte,adult,piece,1,0.681
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_041,Alicte,subadult,full,1,0.818
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_041,Alicte,subadult,full,1,0.651
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_060,Apgiar,adult,full,1,3.701
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_060,Apgiar,subadult,full,1,3.443
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_060,Apgiar,subadult,full,1,3.158
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_060,Apgiar,subadult,piece,1,2.256
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_067,Apcalicali,adult,full,1,0.446
ECORDRE_0009,Vers2022,ECORDRE_0009_Vers2022_1,0.0625,t_098,Samamm,subadult,full,1,0.047
